BASE,,,89,,,67,,,45,,,23,,,1,,,
EPOCH,VAL,TRAIN,EPOCH,VAL,TRAIN,EPOCH,VAL,TRAIN,EPOCH,VAL,TRAIN,EPOCH,VAL,TRAIN,EPOCH,VAL,TRAIN,
1,0.697233498,0.692727089,1,0.453857243,0.665810406,1,0.190022886,0.139937401,1,0.101094998,0.028668806,1,0.090282604,0.010646986,1,0.097901136,0.003628546,
2,0.644047141,0.649912298,2,0.364005059,0.334353805,2,0.16759102,0.104891717,2,0.11196658,0.026107857,2,0.097152725,0.00998738,2,0.091033809,0.011523809,
3,0.534167826,0.594461858,3,0.302203387,0.259903044,3,0.15992777,0.094230063,3,0.108965196,0.023096612,3,0.085691601,0.011503889,3,0.111496806,0.003606033,
4,0.547158182,0.531802237,4,0.277789384,0.219975531,4,0.150483325,0.086137973,4,0.098788865,0.020175088,4,0.097760834,0.00734286,4,0.089930013,0.004814453,
5,0.522108316,0.514635682,5,0.263684064,0.211996257,5,0.165988296,0.080794886,5,0.102608614,0.01927634,5,0.098486021,0.010541906,5,0.088809833,0.00510154,
6,0.466541678,0.47467792,6,0.24415417,0.196290225,6,0.140811846,0.072008424,6,0.093083709,0.021076877,6,0.090109788,0.012222719,6,0.091419697,0.00109863,
7,0.434860885,0.461378366,7,0.230428517,0.174780771,7,0.13743411,0.072056256,7,0.095390357,0.016565938,7,0.093634024,0.005653809,7,0.071918875,0.004000075,
8,0.473900229,0.433442235,8,0.236547396,0.170395195,8,0.138098195,0.073377565,8,0.099132299,0.015632486,8,0.094357371,0.004496017,8,0.079442382,0.002340383,
9,0.428625822,0.428180754,9,0.223807603,0.156406343,9,0.129069269,0.065614402,9,0.094707891,0.022535963,9,0.093380988,0.004504025,9,0.087541096,0.0017427,
10,0.418914348,0.41996181,10,0.216175318,0.160365582,10,0.128788769,0.056722887,10,0.100716308,0.014079625,10,0.098906785,0.009311728,10,0.08488901,0.001227114,
11,0.420430809,0.40627718,11,0.199046016,0.145727098,11,0.127274752,0.059351221,11,0.094716199,0.013197327,11,0.088598587,0.004981397,11,0.090596512,0.004525549,
