                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.28948,                0.16325,                 0.1915,                0.89981,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99496,                0.13162,                0.09417,                0.10875,                0.62181,              0.0015248,              0.0015248,              0.0015248
                     27,                0.28892,                0.16409,                0.18935,                 0.8972,                0.99997,                      1,                  0.995,                 0.9949,                0.99997,                      1,                  0.995,                0.99497,                 0.1274,                0.09643,                0.09446,                0.61868,               0.001505,               0.001505,               0.001505
                     28,                0.29271,                0.15955,                 0.1911,                0.89874,                0.99996,                      1,                  0.995,                0.99477,                0.99996,                      1,                  0.995,                0.99492,                0.13185,                0.09339,                0.10479,                0.62382,              0.0014852,              0.0014852,              0.0014852
                     29,                0.28534,                0.15992,                 0.1863,                0.89536,                0.99997,                      1,                  0.995,                0.99495,                0.99997,                      1,                  0.995,                0.99497,                0.12745,                0.08678,                0.10178,                0.61702,              0.0014654,              0.0014654,              0.0014654
                     30,                0.28079,                0.16414,                0.18477,                0.89346,                0.99997,                      1,                  0.995,                0.99493,                0.99997,                      1,                  0.995,                0.99497,                0.12296,                0.09305,                0.09114,                0.61754,              0.0014456,              0.0014456,              0.0014456
                     31,                0.28605,                0.15839,                0.18646,                0.89645,                0.99997,                      1,                  0.995,                0.99491,                0.99997,                      1,                  0.995,                0.99492,                0.12464,                0.09488,                0.10434,                0.61863,              0.0014258,              0.0014258,              0.0014258
                     32,                0.28235,                0.15882,                0.18348,                0.89154,                0.99996,                      1,                  0.995,                0.99476,                0.99996,                      1,                  0.995,                0.99492,                0.12569,                0.08932,                0.10562,                0.62093,               0.001406,               0.001406,               0.001406
                     33,                0.28472,                0.15985,                0.18436,                0.89475,                0.99997,                      1,                  0.995,                0.99491,                0.99997,                      1,                  0.995,                0.99496,                0.12892,                0.09054,                0.09755,                0.61696,              0.0013862,              0.0013862,              0.0013862
                     34,                0.28718,                0.15964,                0.18592,                0.89359,                0.99997,                      1,                  0.995,                 0.9949,                0.99997,                      1,                  0.995,                0.99494,                0.13352,                0.09354,                 0.1037,                0.62108,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.2786,                0.15704,                0.17876,                0.89121,                0.99997,                      1,                  0.995,                0.99458,                0.99997,                      1,                  0.995,                0.99482,                0.12131,                0.09095,                0.09048,                0.61798,              0.0013466,              0.0013466,              0.0013466
