                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.26056,                0.24302,                0.24543,                0.89726,                0.99724,                      1,                  0.995,                  0.995,                0.99724,                      1,                  0.995,                  0.995,                0.14255,                0.13064,                 0.1599,                0.65946,              0.0015248,              0.0015248,              0.0015248
                     27,                0.24925,                0.22771,                0.23849,                0.89973,                0.99734,                      1,                  0.995,                  0.995,                0.99734,                      1,                  0.995,                  0.995,                0.12831,                0.13108,                 0.1298,                0.63867,               0.001505,               0.001505,               0.001505
                     28,                0.26541,                0.23602,                0.24406,                0.89779,                0.99699,                      1,                  0.995,                 0.9528,                0.99699,                      1,                  0.995,                0.95152,                0.25099,                0.31029,                0.20291,                0.76766,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.2538,                0.23075,                0.23915,                0.89807,                0.99773,                      1,                  0.995,                  0.995,                0.99773,                      1,                  0.995,                  0.995,                0.14112,                0.13562,                0.14422,                0.64944,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.2527,                0.23115,                0.23497,                0.90424,                 0.9974,                      1,                  0.995,                  0.995,                 0.9974,                      1,                  0.995,                  0.995,                0.14764,                0.12031,                0.12967,                0.64466,              0.0014456,              0.0014456,              0.0014456
                     31,                0.25083,                0.22959,                0.23329,                0.89459,                0.99724,                      1,                  0.995,                  0.995,                0.99724,                      1,                  0.995,                  0.995,                0.13711,                0.12034,                0.15158,                0.64455,              0.0014258,              0.0014258,              0.0014258
                     32,                0.25193,                0.23686,                0.23084,                0.89876,                0.99729,                      1,                  0.995,                0.99046,                0.99729,                      1,                  0.995,                  0.995,                0.19745,                0.13053,                0.18427,                0.69535,               0.001406,               0.001406,               0.001406
                     33,                0.25829,                0.23895,                0.23046,                0.90116,                0.99749,                      1,                  0.995,                  0.995,                0.99749,                      1,                  0.995,                  0.995,                0.14404,                0.12889,                0.14504,                0.64172,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.2619,                0.25693,                0.24179,                0.89878,                 0.9975,                      1,                  0.995,                  0.995,                 0.9975,                      1,                  0.995,                  0.995,                0.14605,                0.22404,                0.12924,                0.64107,              0.0013664,              0.0013664,              0.0013664
                     35,                0.25621,                0.24289,                0.23368,                0.90109,                0.99315,                      1,                  0.995,                0.98189,                0.99315,                      1,                  0.995,                0.98788,                0.20652,                0.18661,                0.33868,                0.67848,              0.0013466,              0.0013466,              0.0013466
                     36,                0.23934,                0.22047,                0.21711,                0.89345,                0.99748,                      1,                  0.995,                  0.995,                0.99748,                      1,                  0.995,                  0.995,                0.12835,                0.12441,                 0.1552,                0.64479,              0.0013268,              0.0013268,              0.0013268
                     37,                0.23474,                0.23084,                0.21613,                0.89613,                0.99751,                      1,                  0.995,                  0.995,                0.99751,                      1,                  0.995,                  0.995,                0.15739,                0.12165,                0.15163,                0.64738,               0.001307,               0.001307,               0.001307
                     38,                0.23569,                0.22844,                0.21781,                0.89282,                 0.9974,                      1,                  0.995,                  0.995,                 0.9974,                      1,                  0.995,                  0.995,                0.16141,                0.12732,                 0.1659,                0.65113,              0.0012872,              0.0012872,              0.0012872
                     39,                0.24529,                0.23078,                0.22062,                0.89593,                0.99754,                      1,                  0.995,                  0.995,                0.99754,                      1,                  0.995,                  0.995,                0.16569,                0.12472,                0.13477,                0.65235,              0.0012674,              0.0012674,              0.0012674
                     40,                0.23774,                0.21765,                0.21434,                0.89204,                0.99729,                      1,                  0.995,                  0.995,                0.99729,                      1,                  0.995,                  0.995,                0.12766,                0.13893,                0.14967,                 0.6419,              0.0012476,              0.0012476,              0.0012476
                     41,                0.23514,                0.22099,                0.21325,                0.88983,                0.99744,                      1,                  0.995,                  0.995,                0.99744,                      1,                  0.995,                  0.995,                 0.1429,                0.13518,                0.11751,                0.64668,              0.0012278,              0.0012278,              0.0012278
                     42,                0.24024,                0.22534,                0.21194,                0.89731,                0.99747,                      1,                  0.995,                  0.995,                0.99747,                      1,                  0.995,                  0.995,                0.10435,                 0.1112,                0.12602,                0.63755,               0.001208,               0.001208,               0.001208
                     43,                0.23945,                0.23386,                0.21014,                0.89224,                0.99739,                      1,                  0.995,                  0.995,                0.99739,                      1,                  0.995,                  0.995,                 0.1585,                0.11932,                0.12608,                0.64564,              0.0011882,              0.0011882,              0.0011882
                     44,                0.23184,                0.21936,                0.20811,                0.89511,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.13661,                0.11601,                0.14068,                0.64785,              0.0011684,              0.0011684,              0.0011684
                     45,                0.23451,                0.22938,                0.20547,                0.88993,                0.99745,                      1,                  0.995,                  0.995,                0.99745,                      1,                  0.995,                  0.995,                 0.1573,                0.11488,                0.12636,                 0.6458,              0.0011486,              0.0011486,              0.0011486
                     46,                0.22598,                0.22305,                0.19726,                0.88942,                0.99749,                      1,                  0.995,                  0.995,                0.99749,                      1,                  0.995,                  0.995,                0.11183,                0.11768,                 0.1017,                0.63543,              0.0011288,              0.0011288,              0.0011288
                     47,                0.22674,                0.22001,                0.19694,                0.89082,                 0.9975,                      1,                  0.995,                  0.995,                 0.9975,                      1,                  0.995,                  0.995,                0.12034,                0.11474,                 0.1103,                0.63973,               0.001109,               0.001109,               0.001109
                     48,                0.23163,                0.22644,                 0.1958,                0.88865,                0.99734,                      1,                  0.995,                  0.995,                0.99734,                      1,                  0.995,                  0.995,                 0.1146,                0.11893,                0.12374,                0.63531,              0.0010892,              0.0010892,              0.0010892
                     49,                0.21961,                0.21629,                0.19376,                0.88622,                0.99747,                      1,                  0.995,                  0.995,                0.99747,                      1,                  0.995,                  0.995,                0.12443,                0.12327,                0.12211,                0.63607,              0.0010694,              0.0010694,              0.0010694
                     50,                0.23466,                0.22759,                0.19858,                0.89249,                 0.9975,                      1,                  0.995,                  0.995,                 0.9975,                      1,                  0.995,                  0.995,                0.10648,                0.12031,                0.11214,                0.63522,              0.0010496,              0.0010496,              0.0010496
                     51,                0.23188,                0.23424,                0.19421,                0.89115,                0.99748,                      1,                  0.995,                  0.995,                0.99748,                      1,                  0.995,                  0.995,                0.11512,                0.12081,                0.10295,                 0.6364,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.2242,                0.21589,                0.18832,                0.88936,                0.99732,                      1,                  0.995,                  0.995,                0.99732,                      1,                  0.995,                  0.995,                0.13333,                0.11275,                0.11848,                0.63894,                0.00101,                0.00101,                0.00101
                     53,                0.21986,                0.21539,                0.18991,                0.89015,                0.99725,                      1,                  0.995,                  0.995,                0.99725,                      1,                  0.995,                  0.995,                0.11162,                0.12603,                0.10366,                0.63652,              0.0009902,              0.0009902,              0.0009902
                     54,                0.22216,                0.22412,                0.18977,                0.88867,                0.99737,                      1,                  0.995,                  0.995,                0.99737,                      1,                  0.995,                  0.995,                0.11775,                0.11072,                0.11208,                0.63459,              0.0009704,              0.0009704,              0.0009704
                     55,                0.23498,                0.22446,                0.19443,                0.89492,                0.99739,                      1,                  0.995,                  0.995,                0.99739,                      1,                  0.995,                  0.995,                0.10354,                0.11674,                0.14391,                0.63107,              0.0009506,              0.0009506,              0.0009506
                     56,                0.22623,                0.22768,                0.18816,                0.88812,                0.99755,                      1,                  0.995,                  0.995,                0.99755,                      1,                  0.995,                  0.995,                0.15297,                0.11647,                0.14334,                0.64016,              0.0009308,              0.0009308,              0.0009308
                     57,                0.23155,                0.23115,                0.19655,                0.89175,                0.99746,                      1,                  0.995,                  0.995,                0.99746,                      1,                  0.995,                  0.995,                0.14946,                0.12532,                 0.1212,                0.64525,               0.000911,               0.000911,               0.000911
                     58,                0.22143,                0.21958,                0.18772,                 0.8877,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.10963,                 0.1232,                0.12423,                0.64174,              0.0008912,              0.0008912,              0.0008912
                     59,                0.21557,                0.22209,                0.18292,                0.89056,                0.99754,                      1,                  0.995,                  0.995,                0.99754,                      1,                  0.995,                  0.995,                0.10088,                0.12499,                0.10049,                0.63402,              0.0008714,              0.0008714,              0.0008714
                     60,                0.21623,                0.22029,                0.18298,                0.88052,                0.99751,                      1,                  0.995,                  0.995,                0.99751,                      1,                  0.995,                  0.995,                0.09992,                0.11889,                0.10313,                 0.6348,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.2184,                0.23469,                0.18378,                0.89154,                0.99711,                      1,                  0.995,                  0.995,                0.99711,                      1,                  0.995,                  0.995,                 0.1082,                 0.1249,                0.11466,                0.63508,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.2138,                0.21966,                0.18133,                0.88835,                0.99735,                      1,                  0.995,                  0.995,                0.99735,                      1,                  0.995,                  0.995,                0.09917,                0.12386,                0.10989,                0.64015,               0.000812,               0.000812,               0.000812
                     63,                0.20814,                0.21939,                 0.1764,                0.88427,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.09731,                 0.1184,                0.11338,                0.63513,              0.0007922,              0.0007922,              0.0007922
                     64,                0.21549,                0.22488,                0.17873,                0.88458,                 0.9975,                      1,                  0.995,                  0.995,                 0.9975,                      1,                  0.995,                  0.995,                0.12029,                0.11682,                  0.112,                0.64086,              0.0007724,              0.0007724,              0.0007724
                     65,                0.22112,                0.22467,                0.17753,                0.88882,                0.99751,                      1,                  0.995,                  0.995,                0.99751,                      1,                  0.995,                  0.995,                0.11592,                0.11953,                0.11306,                0.63792,              0.0007526,              0.0007526,              0.0007526
                     66,                0.20862,                0.21459,                0.17049,                0.88691,                0.99755,                      1,                  0.995,                  0.995,                0.99755,                      1,                  0.995,                  0.995,                0.10289,                0.11952,                0.09734,                0.63666,              0.0007328,              0.0007328,              0.0007328
                     67,                0.21245,                0.22156,                0.17181,                0.89218,                0.99747,                      1,                  0.995,                  0.995,                0.99747,                      1,                  0.995,                  0.995,                0.11473,                0.12707,                0.11394,                0.64353,               0.000713,               0.000713,               0.000713
                     68,                0.20885,                0.21527,                0.17227,                 0.8892,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.09722,                0.11391,                0.10287,                0.63425,              0.0006932,              0.0006932,              0.0006932
                     69,                0.21954,                0.22991,                  0.174,                 0.8911,                0.99746,                      1,                  0.995,                  0.995,                0.99746,                      1,                  0.995,                  0.995,                0.10045,                0.11112,                0.10991,                0.63598,              0.0006734,              0.0006734,              0.0006734
                     70,                0.21179,                 0.2205,                  0.171,                0.89333,                0.99143,                      1,                  0.995,                  0.995,                0.99143,                      1,                  0.995,                  0.995,                0.10918,                0.11789,                0.10487,                0.63743,              0.0006536,              0.0006536,              0.0006536
                     71,                0.21059,                0.21975,                0.17258,                0.88568,                0.99744,                      1,                  0.995,                  0.995,                0.99744,                      1,                  0.995,                  0.995,                0.10199,                0.11486,                0.10908,                0.63465,              0.0006338,              0.0006338,              0.0006338
                     72,                0.21101,                 0.2162,                0.17256,                0.88794,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.08476,                 0.1167,                0.11413,                0.63133,               0.000614,               0.000614,               0.000614
